c1_plots_number,c2_plots_number,l1_plots_number,l2_plots_number,x_block_coordinate,y_block_coordinate,objectid,codmanzana,codsector,codsubsector,x_centroid_coordinate,y_centroid_coordinate,x_true_centroid_coordinate,y_true_centroid_coordinate,block_area,block_length,c1_length,c2_length,l1_length,l2_length,block_apexes_number,rectangular_form,square_form,is_multipart
-1,0,-2,-2,775345.5,8.989275e+06,6189,102511,10,102,775345.5,8.989275e+06,775345.5,8.989275e+06,1417.8058,156.97813,,,,,6,,,f
-1,0,-2,-2,775304,8.989236e+06,6190,102510,10,102,775304,8.989236e+06,775304,8.989236e+06,1410.9722,156.78487,,,,,6,,,f
6,2,13,13,775357.7,8.98922e+06,6191,102470,10,102,775357.7,8.98922e+06,775357.7,8.98922e+06,3762.9363,272.43347,40.9855,97.689354,36.122543,97.63606,4,t,f,f
6,6,8,8,775275.8,8.989167e+06,6192,102472,10,102,775275.8,8.989167e+06,775275.8,8.989167e+06,3134.717,246.39738,35.99269,86.3795,35.91523,88.10996,4,t,f,f
2,2,20,20,775193.7,8.989125e+06,6193,102476,10,102,775193.7,8.989125e+06,775193.7,8.989125e+06,4322.2886,312.14233,35.971344,120.04892,36.024433,120.09765,4,f,t,f
6,2,13,13,775237.44,8.989095e+06,6194,102475,10,102,775237.44,8.989095e+06,775237.44,8.989095e+06,3714.9595,269.44342,40.802395,95.06686,36.695103,96.87906,4,t,f,f
-1,0,-2,-2,775128.25,8.988985e+06,6195,102434,10,102,775128.25,8.988985e+06,775128.25,8.988985e+06,4113.5166,314.72345,,,,,8,,,f
2,2,20,20,775099.06,8.989036e+06,6196,102482,10,102,775099.06,8.989036e+06,775099.06,8.989036e+06,4327.185,312.16583,35.994396,119.91387,36.107548,120.15001,4,t,f,f
2,3,15,15,775056.5,8.988951e+06,6197,102433,10,102,775056.5,8.988951e+06,775056.5,8.988951e+06,3663.8499,274.92612,35.81685,100.656975,36.5997,101.85259,4,t,f,f
6,6,7,7,775468.5,8.989498e+06,6198,102569,10,102,775468.5,8.989498e+06,775468.5,8.989498e+06,2809.4895,228.07693,36.002487,78.03605,36.002495,78.035904,5,f,t,f
2,7,13,13,775427.7,8.989541e+06,6199,102581,10,102,775427.7,8.989541e+06,775427.7,8.989541e+06,4173.4844,282.7013,42.254036,99.491295,41.788902,99.16705,4,t,f,f
2,2,23,23,775331.94,8.989451e+06,6200,102570,10,102,775331.94,8.989451e+06,775331.94,8.989451e+06,5790.14,360.44592,41.66217,138.6111,42.07035,138.10231,4,t,f,f
2,2,22,22,775090.56,8.989711e+06,6201,102616,10,102,775090.56,8.989711e+06,775090.56,8.989711e+06,5695.6465,350.67014,42.216564,132.39378,43.91089,132.1489,4,t,f,f
2,2,22,22,775194.4,8.989809e+06,6202,102655,10,102,775194.4,8.989809e+06,775194.4,8.989809e+06,5543.8457,347.9948,41.99953,131.99794,41.999462,131.99788,4,f,t,f
2,2,20,20,775120.9,8.98961e+06,6203,102614,10,102,775120.9,8.98961e+06,775120.9,8.98961e+06,4956.029,322.88977,41.954212,120.19215,40.514175,120.22923,4,t,f,f
2,2,24,24,775379.2,8.989641e+06,6204,102612,10,102,775379.2,8.989641e+06,775379.2,8.989641e+06,6092.072,372.90326,41.596336,144.35439,42.898254,144.05428,4,t,f,f
2,2,24,24,775302.6,8.98957e+06,6205,102579,10,102,775302.6,8.98957e+06,775302.6,8.98957e+06,5792.809,368.25577,39.86933,144.29471,40.673855,143.41788,4,t,f,f
2,2,24,24,775224.6,8.989497e+06,6206,102571,10,102,775224.6,8.989497e+06,775224.6,8.989497e+06,6031.735,371.57202,41.90001,144.1598,41.97388,143.53831,4,t,f,f
6,6,5,5,774688.4,8.989377e+06,6207,102536,10,102,774688.4,8.989377e+06,774688.4,8.989377e+06,3235.922,237.94588,41.968628,76.53797,42.223522,77.21576,4,t,f,f
6,6,5,5,774725.56,8.989337e+06,6208,102535,10,102,774725.56,8.989337e+06,774725.56,8.989337e+06,3243.3403,238.22142,42.039204,76.865715,42.22984,77.086655,4,t,f,f
6,6,5,5,774763.2,8.989297e+06,6209,102534,10,102,774763.2,8.989297e+06,774763.2,8.989297e+06,3259.1694,238.88301,42.34152,77.42764,42.047886,77.06596,4,t,f,f
6,6,5,5,774800.4,8.989256e+06,6210,102507,10,102,774800.4,8.989256e+06,774800.4,8.989256e+06,3232.7332,237.48367,42.37091,76.624886,42.194427,76.29344,4,t,f,f
6,6,7,7,774871.2,8.989322e+06,6211,102533,10,102,774871.2,8.989322e+06,774871.2,8.989322e+06,3821.8918,265.99625,41.999435,90.99876,41.999367,90.99868,4,f,t,f
6,6,7,7,774758.75,8.989444e+06,6212,102537,10,102,774758.75,8.989444e+06,774758.75,8.989444e+06,3904.2932,267.82062,43.54291,91.319885,42.279877,90.67795,4,t,f,f
6,6,5,5,774829.94,8.98951e+06,6213,102575,10,102,774829.94,8.98951e+06,774829.94,8.98951e+06,3265.2964,239.05983,42.198288,76.98151,42.320194,77.559845,4,t,f,f
6,6,5,5,774865.1,8.989472e+06,6214,102574,10,102,774865.1,8.989472e+06,774865.1,8.989472e+06,3233.8997,237.99628,41.999294,76.9987,41.99943,76.998856,4,f,t,f
6,6,5,5,774904.94,8.98943e+06,6215,102539,10,102,774904.94,8.98943e+06,774904.94,8.98943e+06,3263.783,238.79852,42.251823,76.78865,42.496056,77.262,4,t,f,f
6,6,5,5,774941.56,8.989389e+06,6216,102540,10,102,774941.56,8.989389e+06,774941.56,8.989389e+06,3233.9001,237.99629,41.999367,76.99878,41.999367,76.99878,4,f,t,f
1,1,-1,-1,774946.8,8.989504e+06,6217,102573,10,102,774946.8,8.989504e+06,774946.8,8.989504e+06,5768.504,312.93716,59.47002,96.9987,59.469883,96.99856,4,f,t,f
2,2,2,2,774999.1,8.989445e+06,6218,102541,10,102,774999.1,8.989445e+06,774999.1,8.989445e+06,2645.9192,209.99678,41.999367,62.99902,41.999367,62.99902,4,f,t,f
6,2,6,6,774889.1,8.989566e+06,6219,102576,10,102,774889.1,8.989566e+06,774889.1,8.989566e+06,2542.808,204.90005,42.309994,60.355515,42.163063,60.071487,4,t,f,f
1,1,-1,-1,774811,8.989384e+06,6220,102538,10,102,774811,8.989384e+06,774811,8.989384e+06,7629.5347,349.59485,84.39881,90.39869,84.39867,90.39868,4,f,t,f
2,2,14,14,774850.5,8.989177e+06,6221,102487,10,102,774850.5,8.989177e+06,774850.5,8.989177e+06,4037.4087,278.169,41.87899,97.879166,40.699356,97.71148,4,t,f,f
2,2,14,14,775070.56,8.989383e+06,6222,102542,10,102,775070.56,8.989383e+06,775070.56,8.989383e+06,4188.5806,281.65433,42.671646,98.265,42.67948,98.0382,4,t,f,f
2,2,16,16,774986.56,8.989343e+06,6223,102532,10,102,774986.56,8.989343e+06,774986.56,8.989343e+06,4703.854,307.99533,41.999283,111.998375,41.999355,111.99831,5,f,t,f
2,2,16,16,774896.5,8.989258e+06,6224,102508,10,102,774896.5,8.989258e+06,774896.5,8.989258e+06,4716.2397,308.4356,42.04576,112.335014,42.046227,112.008606,4,t,f,f
2,2,16,16,775025.06,8.989302e+06,6225,102531,10,102,775025.06,8.989302e+06,775025.06,8.989302e+06,4723.138,308.46008,42.00316,112.22793,42.26826,111.96074,4,t,f,f
2,2,16,16,774934.9,8.989217e+06,6226,102483,10,102,774934.9,8.989217e+06,774934.9,8.989217e+06,4737.4644,308.64557,42.269367,111.783264,42.30157,112.29137,4,t,f,f
2,2,17,17,774935.1,8.989086e+06,6227,102486,10,102,774935.1,8.989086e+06,774935.1,8.989086e+06,5030.2764,322.63223,42.271313,119.022385,42.22439,119.11416,4,f,t,f
2,6,17,17,775154.7,8.989293e+06,6228,102530,10,102,775154.7,8.989293e+06,775154.7,8.989293e+06,5036.436,323.02628,42.066055,118.92964,42.383137,119.64744,4,t,f,f
2,2,17,17,775113.94,8.989254e+06,6229,102509,10,102,775113.94,8.989254e+06,775113.94,8.989254e+06,4931.0044,320.80453,41.370457,118.72333,41.54307,119.167694,4,t,f,f
2,2,17,17,774975.75,8.989125e+06,6230,102485,10,102,774975.75,8.989125e+06,774975.75,8.989125e+06,4992.124,322.36652,42.43002,119.387856,41.233646,119.31501,4,t,f,f
